X        temperature
0.000000    5.000000
0.100000    5.012163
0.200000    4.993918
0.300000    4.946625
0.400000    4.871825
0.500000    4.771260
0.600000    4.646901
0.700000    4.500976
0.800000    4.336000
0.900000    4.154816
1.000000    3.960632
1.100000    3.757067
1.200000    3.548202
1.300000    3.338639
1.400000    3.133563
1.500000    2.938817
1.600000    2.760979
1.700000    2.607455
1.800000    2.486578
1.900000    2.407725
2.000000    2.381441
